Year,SO2,CO,O3,NO,NO2,PM10,PM25
2014,3.8570641190519734,0.37915487782472695,38.363371914997884,38.8304856390471,12.195658031722655,49.52311837834527,27.714618164002694
2015,3.172147712658446,0.29812970788168036,19.53507257027385,37.963316798334255,10.609676036499478,29.27307244779227,11.36689325739482
